product_id,screen_inch,screen_resolution,screen_frequency_Hz,card_screen,core,core_gen,core_speed,ram,capacity,battery,weight_kg
315911,15.6,Full HD,,Intel Iris Xe,i5,1335U,1.3GHz,8,512,"3-cell, 41Wh",1.74
326194,15.6,Full HD,120.0,Intel Iris Xe,i5,1235U,1.3GHz,16,512,"3-cell, 41Wh",1.9
310450,15.6,Full HD,,Intel Iris Xe,i7,1255U,1.7GHz,16,512,"3-Cell, 39.3 Wh",1.7
327098,15.6,Full HD,,Radeon,Ryzen 5,7430U,2.30 GHz,16,512,"3-cell, 41Wh",1.59
283458,15.6,Full HD,144.0,RTX 3050Ti 4GB,i7,12700H,2.30 GHz,8,512,"4-cell, 57.5Wh",2.5
313974,16.1,Full HD,144.0,RTX 3050 6GB,Ryzen 7,7840HS,3.8GHz,16,512,"4-cell, 70Wh",2.34
327050,15.6,Full HD,144.0,RTX 3050 6GB,i5,,,24,512,60 Wh,2.38
272282,15.6,Full HD,144.0,RTX 3050 4GB,i5,12500H,2.5GHz,8,512,"4-cell, 57.5Wh",2.5
306688,14.0,Full HD,,Intel Iris Xe,i5,1335U,1.3GHz,8,512,"3-cell, 43Wh",1.53
315912,15.6,Full HD,,MX550 2GB,i5,1335U,1.3GHz,16,512,"3-cell, 41Wh",1.74
306197,14.0,2K,90.0,Intel Iris Xe,i5,13500H,2.6GHz,16,512,"3-cell, 63Wh",1.4
326574,15.3,Full HD+,,Intel Graphics,Intel Core 5 Raptor Lake,120U,1.4GHz,16,512,57Wh,1.79
326052,15.6,Full HD,,Intel Arc Graphics,Ultra 5,125H,1.2GHz,16,512,"3-cell, 41Wh",1.65
308697,15.6,Full HD,144.0,RTX 4050 6GB,i5,12450H,2GHz,8,512,"3-cell Li-ion, 52.4 Wh",1.86
313850,17.3,Full HD,144.0,RTX 2050 4GB,i5,11400H,2.7GHz,16,512,"3-cell, 48Wh",2.6
314830,14.0,Full HD,,Intel UHD,i5,1335U,1.3GHz,8,512,"3-cell, 41Wh",1.44
306133,15.6,Full HD,144.0,"RTX 3050 Max-Q, 4GB",i7,11800H,2.30 GHz,8,512,"3-cell Li-ion, 52.4 Wh",1.86
325512,14.0,Full HD,,Intel Arc Graphics,Ultra 7,155H,3.8GHz,32,1,65Wh,1.39
309305,14.0,Full HD,,Intel Iris Xe,i7,1355U,1.7GHz,16,512,"4-cell, 54Wh",1.62
296789,13.3,2K,,Intel Iris Xe,i7,1250U,1.1GHz,16,512,"4-cell, 66Wh",1.34
310803,15.6,Full HD,144.0,RTX 3050 4GB,i5,12500H,2.5GHz,8,512,"4-cell, 56Wh",2.2
285765,14.0,2K,,Intel Iris Xe,i5,1240P,1.7GHz,16,512,"3-cell, 56Wh",1.2
326124,15.6,Full HD,144.0,RTX 2050 4GB,i5,12450H,2GHz,16,512,"3-cell Li-ion, 52.4 Wh",1.86
308526,15.6,Full HD,,MX550 2GB,i5,1235U,1.3GHz,8,512,"3 cell, 41.04 Wh",1.74
311210,15.6,Full HD,120.0,Intel UHD,i3,1215U,1.2GHz,8,512,"3-cell, 41Wh",1.67
285764,15.6,Full HD,,Intel Iris Xe,i5,1135G7,2.4GHz,8,512,"2-cell, 36.7Wh",1.7
322100,16.0,2K,240.0,RTX 4060 8GB,i7,14700HX,2.1GHz,16,1,"4-cell, 65Wh",2.3
323583,16.1,Full HD,144.0,RTX 4060 8GB,Ryzen 7,7840HS,3.8GHz,32,512,"4-cell, 70Wh",2.33
327051,15.6,Full HD,144.0,RTX 4050 6GB,Ryzen 7,7435HS,3.1GHz,24,512,60 Wh,2.38
306070,14.0,2K,90.0,Intel Iris Xe,i5,1340P,1.9GHz,16,512,"4-cell Li-ion, 75 Wh",1.5
325244,14.0,Full HD+,,Intel Iris Xe,Core 7,,,16,512,"4-cell, 54Wh",1.67
309735,13.3,2K,,Intel Iris Xe,i5,1230U,1.00 GHz,16,512,"4-cell, 66Wh",1.34
305600,15.6,Full HD,,Intel Iris Xe,i5,1135G7,2.4GHz,8,256,"2-cell, 36.7Wh",1.7
309016,15.3,Retina,,10 nhân GPU,Apple M2,,100GB/s,8,256,Lên đến 18 giờ,1.51
319657,15.6,Full HD,144.0,RTX 2050 4GB,i5,13420H,2.1GHz,16,512,"4-cell, 57Wh",2.1
323746,15.6,Full HD,144.0,RTX 2050 4GB,i5,13420H,2.1GHz,8,512,"4-cell, 57Wh",2.1
326279,15.6,Full HD,144.0,RTX 3050 4GB,i5,12450H,2GHz,16,512,"3-cell Li-ion, 52.4 Wh",1.86
309373,15.6,Full HD,144.0,RTX 3050 4GB,i5,11400H,2.7GHz,16,512,"3-cell, 48Wh",2.3
313176,15.6,Full HD,144.0,RTX 2050 4GB,i5,12450H,2GHz,8,512,"3-cell, 50Wh",2.1
322003,14.0,Full HD+,,Intel Iris Xe,i5,1335U,1.3GHz,8,512,"3-cell, 50Wh",1.5
306141,15.6,Full HD,,Intel Iris Xe,i5,1335U,1.3GHz,8,512,"3-Cell, 39.3 Wh",1.7
291153,14.0,Full HD,,Intel UHD,i5,1235U,1.3GHz,8,256,"3-cell, 41Wh",1.47
324821,14.0,2K,120.0,Intel Arc Graphics,Ultra 9,,,32,1,"4-cell Li-ion, 75 Wh",1.2
